
# <light_id>,<face_id>,<texture_x>,<texture_y> 

1,20,1468,917
2,20,1361,771
3,19,1553,616
4,18,769,774
5,18,726,829
6,18,776,919
7,18,894,891
8,25,1953,342
9,24,644,129
10,29,1328,1783
11,29,1381,1855
12,29,1391,1970
13,29,1318,1998
14,31,1158,1970
15,31,984,1938
16,31,929,1873
17,31,1176,1836
18,31,1031,1750
19,30,1118,1178
20,30,1188,1100
21,30,1288,1180
22,26,792,132
23,27,292,328
#24,28,824,1928
24,28,750,1928
25,28,596,2008
26,28,592,1956
27,28,780,1824
28,28,772,1712
29,23,1416,576
30,23,1288,572
31,33,1532,384
32,22,516,820
33,22,640,856
34,21,880,364
35,34,84,96
36,35,692,316
37,36,292,1084
38,36,368,1200
39,37,1512,1200
40,38,1684,1072
41,38,1804,1068
42,39,388,1396
43,39,276,1500
#44,39,388,1532
44,39,368,1532
45,3,96,1724
46,3,196,1848
47,3,128,1928
48,4,1104,368
49,2,300,908
50,2,304,764
51,14,120,644
52,14,152,512
53,13,736,1340
54,13,788,1464
55,13,848,1588
56,32,364,1908
57,32,468,1860
58,32,372,1720
59,53,24,1348
60,53,164,1408
61,53,96,1564
62,6,424,656
63,6,436,640
64,6,420,480
65,5,1628,848
66,1,1788,592
67,0,1536,152
68,8,1256,120
69,7,1908,1584
70,7,1816,1864
71,7,1956,1332
72,9,1596,1492
73,12,1136,1380
74,12,1000,1516
75,12,1168,1576
#76,17,1692,372
76,17,1692,372
77,16,956,132
78,15,1312,336
79,52,532,1512
80,52,540,1580
81,11,644,564
82,10,1924,872
83,41,868,580
84,42,304,140
85,45,1232,888
86,46,1348,1552
87,46,1380,1368
88,47,92,1060
89,47,96,1172
90,48,932,1164
91,48,968,1200
92,51,1124,628
93,49,600,1088
94,44,1636,1808
95,44,1636,1984
96,44,1756,1972
97,49,556,1212
98,50,1060,820
99,43,468,324
100,40,796,1104
