
# <light_id>,<face_id>,<texture_x>,<texture_y> 

14,11,638,564
15,13,788,1484
16,14,128,562
17,15,1277,359
18,47,71,1052
19,52,476,1457
20,41,845,551
21,10,1907,872
22,7,1856,1487
23,12,1121,1406
24,6,1856,1487
25,53,98,1430
26,32,395,1766
27,31,1079,1904
28,29,1310,1745
29,29,1328,1994
#30,18,89,857
30,18,890,857
31,20,1481,917
32,51,1178,491
33,49,584,1118
34,41,851,590
35,50,1043,836
36,34,74,101
37,22,512,834
38,23,1331,572
39,36,311,1136
40,38,1703,1103
41,39,341,1463
42,2,290,833
43,4,1106,371
44,3,146,1874
45,28,593,2009
#46,28,572,1752
46,28,497,1752
47,28,794,1973
48,26,959,1136
49,5,1643,837
50,30,1211,1163
